Size, FIFO, SSTF, SCAN, C-SCAN
985, 3.41231, 2.00921, 2.00701, 2.00834
986, 3.41374, 2.00619, 2.00469, 2.00586
987, 3.41608, 2.00771, 2.00576, 2.00679
988, 3.4152, 2.01011, 2.00814, 2.00948
989, 3.41519, 2.00657, 2.00473, 2.00594
990, 3.41695, 2.00792, 2.00575, 2.00707
991, 3.41472, 2.00587, 2.00412, 2.0053
992, 3.41363, 2.01108, 2.00911, 2.01027
993, 3.41384, 2.00789, 2.00628, 2.00738
994, 3.41579, 2.00674, 2.00522, 2.00609
995, 3.4135, 2.00825, 2.00735, 2.00835
996, 3.41152, 2.00385, 2.00255, 2.00363
997, 3.41322, 2.00733, 2.0053, 2.00666
998, 3.4172, 2.0059, 2.00396, 2.00496
999, 3.41608, 2.00666, 2.00507, 2.00637
1000, 3.41214, 2.00812, 2.00549, 2.00668
